Resource Name,URL,Description,Type,Topic,Stage,Audience
Tableau Agentic Enterprise Composer,https://jtabz.github.io/TabAEC/,"Tool for conceptualizing AI Agents, business functions, and requirements to prove ROI.","Tool","AI/Agents, Agentforce","Discovery, Scoping","SE, AE"
Analytics Capability Matrix,https://jtabz.github.io/analytics-capability-matrix/,"Diagnostic tool mapping customer analytics maturity (Descriptive to Prescriptive) to identify gaps.","Diagnostic Framework","Maturity Model, Data Cloud","Discovery, Qualification","SE, AE"
Tableau Next Demo Guide,https://jtabz.github.io/ae-tabnext-demoguide/,"Framework for scoping demos based on timelines (Quick Hit vs. Platform Vision).","Process Guide","Demo Strategy, Scoping","Demo Prep","SE, AE"
Tooling Paradox,https://jtabz.github.io/tool-paradox/,"Strategic narrative deck explaining evolution from Tool to System to AI.","Strategic Deck","Platform Vision, Data Cloud","Vision/Strategy","Customer, Internal Enablement"
AI in Analytics Tension Presentation,https://github.com/JtabZ/foundationaltensions,"HTML-based presentation covering six core strategic conflicts/tensions in analytics platforms.","Web Presentation","Strategic Narrative, Soft Skills","Relationship Building","SE, AE"
TabNext Agentic AI Shift,https://jtabz.github.io/TabNextAgenticAIShift/,"Interactive presentation covering the shift toward agentic AI and Agentforce integration.","Web Presentation","AI/Agents, Agentforce","Positioning","SE, AE"
Tableau Server Topology Planner,https://github.com/JtabZ/TabServerTopologyPlanner,"Web app for planning multi-node Tableau Server architectures with validation.","Web Tool","Tableau Server, Architecture","Technical Validation, Implementation","Architect, SE"
Tableau Bridge Guide with Shared Drives,https://jtabz.github.io/tabbridgeguidewithshareddrive/,"Runbook for deploying Bridge with on-premise shared network drives.","Technical Guide","Tableau Bridge, Hybrid Deployment","Implementation, Troubleshooting","SE, IT Ops"
Tableau Embedding Playbook,https://embedding-playbook.vercel.app/,"Demo platform and Next.js guide for composing Tableau capabilities into custom apps.","Demo Asset, Playbook","Embedded Analytics, Developer Experience","POC","Developer, SE"
Tableau Bridge Guide (Interactive Site),https://jtabz.github.io/tabridgedocs/,"Single page website with supplemental documentation and troubleshooting for Bridge.","Reference","Tableau Bridge","Technical Validation","SE"
Virtual Connections Guide,https://jtabz.github.io/vconnguide/,"Best practices for Virtual Connections, centralized data access, and row-level security.","Guide","Virtual Connections, Security/Governance","Technical Validation","SE"
Virtual Connections Landing Page,https://jtabz.github.io/vconns/,"Supplemental virtual connections resources and examples.","Reference","Virtual Connections","Technical Validation","SE"
Databricks & Tableau Integration,https://jtabz.github.io/databricks-tableau/,"Guide on connectivity, in-database transformations, and future-proofing data strategy.","Integration Guide","Databricks, Data Strategy","Technical Validation","SE"
Tableau Incorta Connection,https://jtabz.github.io/incortaconnection/,"Connector documentation and implementation guide for Incorta.","Integration Guide","Incorta, Connectors","Implementation","SE"
Data Generator (CBS Suite),https://github.com/JtabZ/DataGen,"Streamlit app for generating realistic, interconnected synthetic data for demos.","Web Tool","Data Generation, Demo Prep","Demo Prep","SE"
Information Portfolio,https://jtabz.github.io/infolio/,"Central hub/portfolio containing descriptions and links to created assets.","Portal","General Enablement","Research/Reference","SE, AE"
Tableau Cloud QA Explorer,https://jtabz.github.io/TabCloudQAExplorer/#introduction,"Guide for Cloud architecture, content promotion, governance, and QA testing.","Guide","Tableau Cloud, Governance, QA/Testing","POC","Admin, SE"
Salesforce Analytics Engager,https://jtabz.github.io/SFAnalyticsEngager/,"Resource for Core/Non-specialists to know when and how to bring Analytics into a deal.","Enablement Asset","Sales Strategy, Cross-Cloud","Prospecting","AE, Core Sales"
Salesforce Product Layers,https://jtabz.github.io/sf-product-layers/,"Visual web app explaining the Salesforce stack (Data, Collection, Analysis, Action).","Visual Aid","Salesforce Ecosystem, Architecture","Education","Customer, SE"
Salesforce and Tableau Data Layers App,https://jtabz.github.io/data-layers-app/,"Visual tool for whiteboarding data architecture and semantic layer concepts.","Visual Aid","Data Architecture, Semantic Layer","Whiteboarding","SE"
Field Service Intelligence Visual Mockup,https://jtabz.github.io/FSO-Intelligence/,"Code repository for AI-coding tools to create visual mockups of FSO dashboards.","Code/Repo","FSO, AI Coding","Demo Prep","Technical SE"
Field Service Intelligence Simplified Mockup Tool,https://jtabz.github.io/FSO-MockupTool/,"Simplified mockup tool for creating UI/UX paths during discovery.","Mockup Tool","FSO, UX Design","Discovery, Design","SE"
LBLM Architecture Comparison,https://jtabz.github.io/LBLMArchitectureCompare/,"Tool for comparing and explaining LBLM implementation options.","Comparison Tool","Licensing, LBLM","Architecture","SE"
Filtering Tableau Stories,https://jtabz.github.io/tabstoriesfiltering/,"Demo asset explaining filtering limitations across Stories and design alternatives.","Demo Asset","Tableau Desktop, Best Practices","Solutioning","SE"
Tableau VizQL Data Service Information,https://jtabz.github.io/vdskw/,"Guide for 'headless BI' using the VizQL API.","Technical Guide","Headless BI, VizQL API, Embedded Analytics","Technical Validation","Developer, SE"
AI Maturity Prompt Template Editor,https://jtabz.github.io/tabaf-prompter/,"Tool for generating and testing prompts for Agentforce and Analytic AI use cases.","Tool","AI/GenAI, Prompt Engineering, Agentforce","POC","SE"
Windows Service Monitoring Information,https://jtabz.github.io/windowsservicemonitoring/,"Guide and scripts for monitoring critical services like Bridge.","Technical Guide","Windows Server, Monitoring, Reliability","Support","IT Ops, SE"
Tableau Server User Breakdown,https://jtabz.github.io/tabserverusers/,"Interactive guide for Admins to define and identify 'active users' for ROI.","Guide","Governance, Adoption, ROI","Customer Success","Admin, SE"
MicroStrategy One Competitive Information,https://jtabz.github.io/microstratone-bread-/,"Deconstructed overview of MicroStrategy ONE ecosystem for competitive differentiation.","Competitive Intel","MicroStrategy, Competitive","Strategy","AE, SE"
Tableau Conference Pulse HOT Session Resources,https://salesforce.quip.com/4L0HOMMyLuVp,"Scripts and guides for setting up Cloud sites for concurrent Pulse users.","Training Resource","Tableau Pulse, Automation","Enablement","Instructor"
